n_updates,ep_len_mean,value_loss,time_elapsed,total_timesteps,clipfrac,serial_timesteps,ep_reward_mean,true_reward,policy_loss,policy_entropy,fps,explained_variance,approxkl
1063,32.21,3.0374484,980.8461256027222,26575000,0.053591996,265750,0.5468875914563068,-1.9195122,-0.003921575,2.3593438,53332,0.9374834224581718,0.0047347574
1064,36.34,3.5984104,981.6922922134399,26600000,0.071028,266000,0.6305514408285035,-1.8602529,-0.0023591397,2.3516004,42005,0.9379531107842922,0.006003772
1065,34.6,3.4894524,982.6727035045624,26625000,0.041088,266250,0.7307377368491302,-2.0468733,-0.002590756,2.348575,53517,0.9327058717608452,0.0039734086
1066,32.13,3.571595,983.5194189548492,26650000,0.05714,266500,0.9588455846778743,-1.9936222,-0.002740689,2.3470972,53476,0.9273541867733002,0.005040846
1067,32.83,2.7571805,984.3664484024048,26675000,0.07529999,266750,0.7044189722764713,-1.8995095,-0.004066307,2.3453665,49825,0.9446364901959896,0.006050114
1068,33.0,2.897945,985.2627222537994,26700000,0.046768002,267000,0.5327349811820205,-1.9999856,-0.0039952667,2.342194,53119,0.9414332509040833,0.004255373
1069,25.47,2.6582286,986.1048214435577,26725000,0.05758,267250,0.6722686963130287,-1.9503183,-0.0042989654,2.340568,53651,0.9471776336431503,0.0049616178
1070,31.62,3.1255014,986.9543535709381,26750000,0.040436,267500,0.6607440518336535,-1.8835353,-0.0024981692,2.340683,52475,0.9445616528391838,0.0038743895
1071,28.19,2.922833,987.80690741539,26775000,0.032228,267750,0.7959181293247479,-1.9004302,-0.0022532651,2.3370602,53507,0.9452363029122353,0.0034024015
1072,30.65,3.146481,988.6516120433807,26800000,0.051467996,268000,0.7710849457024233,-2.0219643,-0.003451455,2.3313665,46669,0.9399213641881943,0.0046084486
1073,32.58,2.8485436,989.5744287967682,26825000,0.062452,268250,0.6049912214771211,-1.8917903,-0.0032073795,2.3256438,52345,0.941245011985302,0.0053111995
1074,32.09,2.9716141,990.467137336731,26850000,0.14411199,268500,0.48221767989831277,-1.9681321,0.00022240332,2.321058,53069,0.9387467540800571,0.012491436
1075,33.45,2.581818,991.3421320915222,26875000,0.17437199,268750,0.7138543661520578,-1.9005247,0.0047511756,2.3161855,49283,0.9531597681343555,0.016423408
1076,30.38,2.6406486,992.2470698356628,26900000,0.059911996,269000,0.3918172553461591,-1.8483305,-0.0025951485,2.3118284,53985,0.9449333734810352,0.0052678706
1077,31.63,2.9478908,993.0998096466064,26925000,0.042692002,269250,0.6794539403591807,-1.9159111,-0.0032924772,2.308574,49170,0.9408444501459599,0.003998855
1078,28.54,2.9705791,993.9910593032837,26950000,0.039196,269500,0.49698982261745184,-2.0242176,-0.0035719604,2.305446,54126,0.9428244009613991,0.003753449
1079,31.95,2.8680756,994.8505737781525,26975000,0.05992,269750,0.6235416644740144,-1.8274668,-0.0022881343,2.299785,53023,0.9421146884560585,0.0052307537
1080,30.27,2.850516,995.7084386348724,27000000,0.076276004,270000,0.49243746944337546,-1.9470621,-0.003709757,2.292015,52818,0.9417017996311188,0.0063462094
1081,35.23,3.0464315,996.5731408596039,27025000,0.062444,270250,1.0032852724194936,-1.8834854,-0.0030834037,2.2851965,42415,0.9419576413929462,0.0053932583
1082,37.51,2.7716095,997.5376100540161,27050000,0.05062,270500,0.7566158187962264,-1.9189649,-0.0026172462,2.2852006,44571,0.9468882493674755,0.0043874937
1083,29.41,3.1718726,998.4773783683777,27075000,0.047564,270750,0.30571234178902157,-1.8703284,-0.0023824023,2.2860198,53692,0.937025249004364,0.004461359
1084,36.51,3.4921355,999.3225920200348,27100000,0.074700005,271000,0.6338523677268677,-1.9073638,-0.0036355401,2.2865765,52682,0.9380264319479465,0.0061041196
1085,33.97,3.1499314,1000.1897070407867,27125000,0.062288005,271250,0.8763557577268511,-1.826708,-0.0036687017,2.2851923,40189,0.9409358464181423,0.005253383
1086,36.28,3.3720024,1001.1956925392151,27150000,0.050155997,271500,0.9848654198126269,-1.9452603,-0.0033796974,2.2814412,53402,0.9445370621979237,0.0044250153
1087,33.82,2.899563,1002.0510115623474,27175000,0.070936,271750,0.8739389117843893,-1.8756275,-0.004399578,2.280196,51163,0.9454403035342693,0.005801781
1088,24.24,2.9985824,1002.9298973083496,27200000,0.061424,272000,0.5380260952571189,-2.024301,-0.003928106,2.2792335,55245,0.9388695023953915,0.0051342016
