n_updates,fps,ep_reward_mean,total_timesteps,true_reward,policy_entropy,ep_len_mean,clipfrac,time_elapsed,approxkl,explained_variance,value_loss,serial_timesteps,policy_loss
115,57003,7.4760509152457235,2875000,0.04093617,-2.5349543,185.8,0.145368,100.19335436820984,0.010644049,0.9875709302723408,0.011924977,28750,-0.00033505206
116,53224,9.040284944644663,2900000,0.04343657,-2.5365021,209.21,0.23849599,100.99263858795166,0.019403256,0.9884874187409878,0.011169386,29000,0.0047677844
117,53868,8.82013095529057,2925000,0.042564742,-2.536894,208.77,0.362564,101.81275749206543,0.038097087,0.9832500442862511,0.014211504,29250,0.012623293
118,53652,9.198294088346893,2950000,0.043383393,-2.5362134,214.8,0.35000402,102.64704155921936,0.03926007,0.9788513351231813,0.01757956,29500,0.010500256
119,53731,8.174472157483942,2975000,0.04235208,-2.5346944,194.67,0.334268,103.47024154663086,0.032883678,0.9669977352023125,0.03206972,29750,0.008076189
120,46383,8.877839354043099,3000000,0.04292065,-2.5327277,206.98,0.28891197,104.29422235488892,0.028749961,0.9784641172736883,0.020047281,30000,0.008652098
121,54848,8.99997491984538,3025000,0.044722144,-2.5298438,204.94,0.28544,105.17652130126953,0.027621364,0.9751260709017515,0.021045106,30250,0.0065240366
122,53749,8.935468563911527,3050000,0.04170038,-2.5224173,214.64,0.12608801,105.9894425868988,0.009364266,0.984461278654635,0.013436188,30500,-0.0010165272
123,54775,8.956873673943928,3075000,0.042999096,-2.514894,209.79,0.15198,106.82631611824036,0.011417783,0.9881563549861312,0.011555789,30750,0.00049639744
124,54657,8.69794124206539,3100000,0.04320554,-2.5139947,205.36,0.21265599,107.63502550125122,0.017804766,0.9818304385989904,0.017838566,31000,0.0038411827
125,54824,9.13759549380488,3125000,0.043265082,-2.5129771,212.29,0.186992,108.4621684551239,0.014942579,0.9757289309054613,0.018300917,31250,0.0015386757
126,53377,8.187662390928526,3150000,0.04108172,-2.5131333,200.52,0.133524,109.2675268650055,0.010098014,0.9738170560449362,0.027576108,31500,-0.0004783781
127,53648,8.967740637424535,3175000,0.043067295,-2.5118299,207.15,0.15763602,110.08489155769348,0.011882266,0.9788363426923752,0.023296362,31750,0.0008105086
128,54704,9.28909804503477,3200000,0.0438356,-2.5102742,211.75,0.19175598,110.90745377540588,0.014654522,0.9885185584425926,0.013292196,32000,0.003595632
129,55776,8.92868832925511,3225000,0.04244492,-2.5117016,211.27,0.17977199,111.71073269844055,0.012774842,0.9851982221007347,0.012029347,32250,0.0018303177
130,54005,9.274859588024519,3250000,0.04283875,-2.5143633,214.54,0.10472001,112.50633144378662,0.008152227,0.9851331254467368,0.01224958,32500,-0.0024143339
131,54000,9.468050114894286,3275000,0.043435827,-2.5153186,218.83,0.130988,113.32160305976868,0.009731688,0.987307813949883,0.009596016,32750,-0.00061545754
132,54373,8.877562413993292,3300000,0.041961845,-2.5171108,212.45,0.186628,114.1506621837616,0.01389038,0.9853859674185514,0.012687142,33000,0.0012655928
133,54004,9.176109290802087,3325000,0.0425776,-2.517544,218.72,0.179876,114.96219825744629,0.013777582,0.9807116314768791,0.013727213,33250,0.0005297478
134,54446,9.474714710900571,3350000,0.04134799,-2.515058,228.42,0.17689998,115.79343557357788,0.012930061,0.9879063200205564,0.009434173,33500,-0.0005729947
135,55258,8.606314170419573,3375000,0.043125123,-2.51258,200.19,0.139556,116.60633134841919,0.010079471,0.9903826415538788,0.0077448273,33750,-0.0010847816
136,55004,9.399882589724076,3400000,0.04279771,-2.5127876,220.87,0.102308,117.40785646438599,0.0077980617,0.9827182926237583,0.010966883,34000,-0.0023442623
137,52824,8.58916414237654,3425000,0.042969123,-2.5154026,201.47,0.11994801,118.21434497833252,0.009325126,0.9855294702574611,0.011396706,34250,-0.0023358057
138,48371,8.981466029760423,3450000,0.042087022,-2.5178256,214.76,0.14340799,119.0350136756897,0.010576781,0.9940167344175279,0.004237857,34500,4.844873e-05
139,55565,8.766515894996955,3475000,0.042705987,-2.520286,206.71,0.135036,119.90802025794983,0.010484509,0.9901194684207439,0.007830346,34750,0.0011916503
140,55709,9.038731851865595,3500000,0.043025054,-2.5253944,210.77,0.17147599,120.70465040206909,0.012792908,0.9879065714776516,0.009150641,35000,0.00027374993
141,54510,8.383536585778929,3525000,0.042790107,-2.5302074,202.07,0.13307199,121.51324701309204,0.009641645,0.9939410053193569,0.004124566,35250,-0.00053198996
142,54156,9.38509121199284,3550000,0.042523414,-2.5330658,222.43,0.16831598,122.32872915267944,0.012180323,0.9908009143546224,0.005570402,35500,0.001046923
143,54310,8.263100327906432,3575000,0.041159764,-2.5345874,203.08,0.152284,123.14056515693665,0.011144571,0.9876864645630121,0.010185468,35750,-1.5373585e-05
144,53535,9.024220517751065,3600000,0.043308634,-2.5348127,207.85,0.140728,123.95047569274902,0.010183029,0.9854675969108939,0.011843803,36000,-0.0020849374
145,54626,8.72089513426181,3625000,0.043514267,-2.5351865,204.06,0.177504,124.75642776489258,0.01342087,0.9910553842782974,0.0068023456,36250,0.0026490334
146,54249,9.258221642644203,3650000,0.042657685,-2.5355296,216.14,0.110912,125.57234787940979,0.008276382,0.9814319871366024,0.0132145565,36500,-0.0023589316
147,55824,9.123247965619266,3675000,0.042788442,-2.540544,215.37,0.15674399,126.37123417854309,0.01140154,0.991024311631918,0.005868323,36750,-8.911106e-05
148,50189,8.641975511337215,3700000,0.042436562,-2.5461679,204.37,0.211392,127.16676068305969,0.016685992,0.9788503348827362,0.01713399,37000,0.00053687394
149,54522,8.255832742323692,3725000,0.04183765,-2.5472934,203.86,0.141856,128.012633562088,0.010406896,0.9883456192910671,0.008543525,37250,-0.00024786574
150,53566,9.701783366744094,3750000,0.044069346,-2.5475583,220.93,0.13277599,128.81544589996338,0.0098735215,0.9887530384585261,0.007029413,37500,0.00089787896
151,54856,9.50932158705793,3775000,0.04424967,-2.548484,216.09,0.150276,129.64384579658508,0.010935038,0.992636866401881,0.0053911326,37750,-0.00016349475
152,54162,8.190031070631413,3800000,0.04281013,-2.5520842,194.52,0.30910403,130.45878505706787,0.02908804,0.9871841473504901,0.010995679,38000,0.010211835
153,56097,8.678878603430094,3825000,0.041781202,-2.554612,210.41,0.237308,131.27068972587585,0.018722432,0.9890910554677248,0.008314591,38250,0.0033945343
154,55680,9.135950075796426,3850000,0.041539017,-2.5541987,219.63,0.19552001,132.07652688026428,0.01742655,0.9810709934681654,0.013602409,38500,0.0018986656
155,55104,9.073763925132189,3875000,0.04313961,-2.5527709,211.74,0.21688,132.90197801589966,0.019475274,0.9907967420294881,0.0065733036,38750,0.004810326
156,52853,9.02436052374576,3900000,0.044107374,-2.552586,206.6,0.192708,133.72275590896606,0.014198755,0.991289890371263,0.006918901,39000,0.003007024
157,53876,9.380892793590574,3925000,0.043697007,-2.5526836,215.77,0.21795198,134.56212735176086,0.018253084,0.984894703142345,0.01092727,39250,0.0032618039
158,56454,9.1025221234201,3950000,0.042940035,-2.553336,214.51,0.163276,135.393981218338,0.012966017,0.9896633867174387,0.0069035413,39500,0.0021415341
159,55897,8.67516750139388,3975000,0.041668136,-2.5536199,207.13,0.138868,136.17881727218628,0.010395494,0.9847990171983838,0.012825659,39750,-0.0013277729
160,55462,8.696426658874916,4000000,0.042873014,-2.554276,206.02,0.17789999,136.9787564277649,0.014181638,0.9894045842811465,0.008650606,40000,0.0009851406
161,55539,8.761865874364885,4025000,0.042681694,-2.5546892,210.76,0.13007602,137.78003597259521,0.009639183,0.9894838407635689,0.0072247228,40250,-0.0008346335
162,54281,8.915037886438514,4050000,0.04274329,-2.5554137,210.16,0.32658798,138.58510780334473,0.030373368,0.9870031336322427,0.0103129875,40500,0.011256613
163,55083,9.420277377824933,4075000,0.044199977,-2.5553136,215.19,0.26184,139.41316652297974,0.020910833,0.9807685278356075,0.015869355,40750,0.0031662788
164,55771,8.799869280759413,4100000,0.042562816,-2.5549998,209.12,0.33466402,140.21889686584473,0.035212245,0.9823364783078432,0.014565224,41000,0.009464509
165,55424,9.410170332419147,4125000,0.043407578,-2.5544147,218.7,0.290968,141.01925945281982,0.035344284,0.9868561644107103,0.008337964,41250,0.008077333
166,54001,8.491635717986282,4150000,0.04181794,-2.5525844,206.43,0.351848,141.8150599002838,0.03241814,0.9913323419168591,0.006838648,41500,0.01394671
167,54626,9.237064778473105,4175000,0.04331936,-2.5516424,215.58,0.23269999,142.63422632217407,0.019139709,0.9890148341655731,0.0069229836,41750,0.0047840853
168,45618,9.56754816297267,4200000,0.04318076,-2.549435,220.97,0.113792,143.43905401229858,0.008488912,0.9899747697636485,0.0072041927,42000,-0.0021751677
169,55918,8.694354392186506,4225000,0.043220297,-2.5446215,207.92,0.12307999,144.34124779701233,0.009639474,0.9833830557763577,0.011646843,42250,-0.0026992257
170,56364,8.835636315861775,4250000,0.043335795,-2.5379977,206.77,0.14218001,145.14418148994446,0.011373743,0.9916021153330803,0.006171651,42500,0.00070598675
171,52853,9.452905412475666,4275000,0.042598482,-2.5322156,224.03,0.17683999,145.9397096633911,0.014035067,0.986445102840662,0.008372114,42750,0.0017636971
