serial_timesteps,ep_reward_mean,time_elapsed,approxkl,explained_variance,clipfrac,ep_len_mean,fps,n_updates,true_reward,value_loss,policy_entropy,policy_loss,total_timesteps
36750,19.85559590276089,7326.465883970261,0.004668413,0.6279620230197906,0.052804,231.24,54468,147,0.085383035,0.2643536,4.8380456,-0.0026053325,3675000
37000,20.484368077757864,7327.386301994324,0.004031946,0.7920179516077042,0.042992003,244.6,58901,148,0.08346828,0.120848514,4.8291006,-0.0022334992,3700000
37250,18.32456300818383,7328.261317491531,0.0060977475,0.6286856830120087,0.07777199,214.49,62735,149,0.08383585,0.30168408,4.821934,-0.0027547614,3725000
37500,18.88881231137504,7329.117980480194,0.0040256586,0.4603821635246277,0.042271998,214.78,63358,150,0.08778714,0.41082454,4.815599,-0.0015762314,3750000
37750,18.690758737529976,7329.935245513916,0.005289387,0.592345803976059,0.065584,219.52,70104,151,0.085091785,0.37810495,4.810482,-0.0022836209,3775000
38000,21.253745080135886,7330.6972942352295,0.0056115096,0.755544900894165,0.072192,242.94,64572,152,0.08772481,0.12623179,4.804265,-0.002453159,3800000
38250,19.84026949359515,7331.5387670993805,0.0056637805,0.5733177661895752,0.06968,226.11,57723,153,0.08753702,0.2934208,4.7966413,-0.0026281986,3825000
38500,17.8458794439504,7332.438089132309,0.0070852055,0.2426406741142273,0.095296,201.7,57578,154,0.08626957,0.63845885,4.7940626,-0.0018028228,3850000
38750,18.50663086287859,7333.318030118942,0.006415262,0.4726034998893738,0.08283199,212.25,48168,155,0.08693151,0.37149334,4.794091,-0.0026638075,3875000
39000,19.23100294117863,7334.2819674015045,0.0046571107,0.49153774976730347,0.053011995,216.84,59448,156,0.08775174,0.3698105,4.7913103,-0.0016299036,3900000
39250,19.864742182740667,7335.1260731220245,0.0052677463,0.6382656395435333,0.063884,225.85,62325,157,0.087730266,0.2540385,4.786955,-0.002427264,3925000
39500,21.310223955265066,7335.956315755844,0.0030693435,0.6358716189861298,0.027192,240.13,61546,158,0.08848208,0.19063494,4.781469,-0.0015918922,3950000
39750,21.050272406534567,7336.790130853653,0.004841012,0.5892362892627716,0.057664,235.62,62793,159,0.08883928,0.24404427,4.770605,-0.002353367,3975000
40000,20.770562329595997,7337.613678693771,0.0047213933,0.6745452582836151,0.056171995,238.32,63827,160,0.0868418,0.18909211,4.7586894,-0.0024345133,4000000
