value_loss,time_elapsed,explained_variance,clipfrac,fps,ep_len_mean,true_reward,ep_reward_mean,total_timesteps,approxkl,serial_timesteps,policy_entropy,n_updates,policy_loss
0.062095992,24.124772310256958,0.8743753135204315,0.2304,2361,16.6,0.0808537,1.340299283117056,40500,0.018239886,40500,5.0090227,162,-0.010837162
0.03552956,24.254626274108887,0.9239686951041222,0.22280002,2453,16.6,0.088748656,1.3403173369169235,40750,0.015109671,40750,5.0058675,163,-0.01433606
0.093036115,24.380186557769775,0.8204621374607086,0.28280002,2492,17.3,0.080914326,1.4754329822957515,41000,0.019028185,41000,5.003676,164,-0.016993176
0.08709588,24.504327297210693,0.8143355548381805,0.36879998,2408,17.14,0.080876924,1.4448780989646912,41250,0.034325667,41250,5.0004025,165,-0.009234988
0.03311171,24.63229465484619,0.932715579867363,0.39439997,2307,17.14,0.08874078,1.444897795468569,41500,0.050632097,41500,4.999453,166,-0.013917409
0.03523145,24.76452112197876,0.9298349246382713,0.28,2401,17.26,0.088742435,1.4678838485479355,41750,0.02661095,41750,4.999672,167,-0.004712467
0.03459791,24.893853425979614,0.9308065474033356,0.43640003,2414,17.43,0.08874371,1.5003940322995186,42000,0.044372372,42000,4.9991484,168,-0.014448452
0.08713625,25.0210862159729,0.8259622007608414,0.2588,2217,17.14,0.07284233,1.444648217856884,42250,0.020922402,42250,4.9994416,169,-0.018411713
0.016212199,25.158235788345337,0.9662947654724121,0.23840001,2349,17.14,0.08873328,1.4446080215275288,42500,0.020456685,42500,4.999672,170,-0.008298762
0.06911431,25.28916645050049,0.8612710684537888,0.244,1727,17.14,0.08079477,1.4443136774003507,42750,0.021132218,42750,4.998771,171,-0.009936359
0.024248252,25.457810878753662,0.950227290391922,0.27599996,2301,17.32,0.08873473,1.4786477486789227,43000,0.022108685,43000,4.9983377,172,-0.011807422
