value_loss,clipfrac,policy_entropy,explained_variance,serial_timesteps,ep_len_mean,n_updates,fps,policy_loss,true_reward,time_elapsed,total_timesteps,approxkl,ep_reward_mean
0.44340524,0.01986,4.2890806,0.8783607110381126,119000,239.18,476,53358,-0.0011939573,0.034858253,418.31649351119995,11900000,0.0024440065,9.30396069958937
0.54555756,0.015936,4.2856116,0.8637977540493011,119250,237.37,477,55795,-0.0011384268,0.033024807,419.18495321273804,11925000,0.0022295536,9.003281326109136
0.80154115,0.028096,4.281884,0.8367720991373062,119500,233.93,478,54290,-0.0019623314,0.0403544,420.033882856369,11950000,0.0030261916,10.891394688612781
0.57142204,0.035964,4.2813177,0.83762027323246,119750,241.27,479,50985,-0.0013899397,0.036145464,420.8950619697571,11975000,0.0033396918,9.480803419705481
0.6344117,0.043992,4.278371,0.8353654742240906,120000,234.0,480,54575,-0.0018556353,0.033018827,421.7832362651825,12000000,0.0040358435,8.967716832607984
0.47232962,0.04836,4.2765408,0.91384107619524,120250,229.24,481,53064,-0.00034382814,0.02873194,422.64678287506104,12025000,0.0044313082,8.339133217533526
0.4440044,0.028051998,4.2764144,0.9021828100085258,120500,232.85,482,53160,-0.0007931398,0.029928187,423.51824259757996,12050000,0.0029746634,8.480532065753504
0.6484778,0.025255999,4.2760515,0.8434508144855499,120750,238.75,483,53183,-0.0014392376,0.035950698,424.3824152946472,12075000,0.002765887,9.466343237878755
0.7933807,0.031551998,4.2746534,0.8101905882358551,121000,228.43,484,53711,-0.0020127657,0.02692378,425.30857515335083,12100000,0.0030443307,7.924531497769058
0.842429,0.019332001,4.274592,0.8305453807115555,121250,223.28,485,52903,-0.0008702227,0.029527083,426.17903757095337,12125000,0.0022911974,8.361720522592368
0.57221913,0.033896,4.274712,0.8804676607251167,121500,231.71,486,53161,-0.0018482476,0.030756546,427.04645133018494,12150000,0.0033144993,8.852270286517742
0.8228599,0.019116,4.274793,0.8317379951477051,121750,230.24,487,50471,-0.00086549605,0.034320273,427.91124176979065,12175000,0.002117715,9.559356485130266
0.569867,0.02414,4.2735796,0.8718356192111969,122000,239.14,488,53411,-0.0007793675,0.033947952,428.82410049438477,12200000,0.0028635135,8.96189256416168
0.5544829,0.015588,4.2710314,0.8901901766657829,122250,235.51,489,53001,-0.00105811,0.03493794,429.70952343940735,12225000,0.0022433507,9.308082193715817
0.684116,0.019516,4.2646637,0.8570285439491272,122500,230.18,490,52631,-0.00087657326,0.034372084,430.5943729877472,12250000,0.0022549983,9.542486997312118
0.44751772,0.027348,4.260051,0.9138209447264671,122750,236.55,491,50645,-0.0012021882,0.03379055,431.47585463523865,12275000,0.0029218108,9.215440114032099
0.7706163,0.047551997,4.2573133,0.8694221526384354,123000,228.29,492,53651,-0.0011115482,0.03529242,432.36753010749817,12300000,0.0042786943,9.691930675527546
0.5931588,0.020748,4.2558084,0.8895220905542374,123250,229.08,493,54769,-0.0006762517,0.027550984,433.22838830947876,12325000,0.002489913,8.010609877309761
0.4425896,0.036832,4.254894,0.9249809980392456,123500,241.34,494,49796,-0.0017770464,0.037142348,434.077214717865,12350000,0.0035622884,9.801896574674174
0.6241771,0.052408,4.252435,0.9046128764748573,123750,234.69,495,49711,-0.0008257719,0.032092154,434.97997784614563,12375000,0.004533126,9.022779932691337
0.46686944,0.018172,4.2517433,0.9344327002763748,124000,235.1,496,53817,-0.0007408567,0.031847753,435.8775746822357,12400000,0.0023713624,8.882620870733517
0.42831057,0.009676,4.2500687,0.9425003379583359,124250,227.86,497,55261,-0.0010531669,0.027115786,436.7375464439392,12425000,0.0015395503,8.128828330968972
0.8282423,0.0153479995,4.2474747,0.8986697047948837,124500,219.58,498,54084,-0.0013898846,0.025229843,437.5813407897949,12450000,0.0018704556,8.223497762678454
0.40220156,0.021915998,4.245406,0.9394532442092896,124750,237.33,499,52885,-0.0017206467,0.03211913,438.4466049671173,12475000,0.0028279906,8.823943638997152
0.58979404,0.027644,4.241969,0.9204808920621872,125000,231.31,500,55634,-0.0013139066,0.031748068,439.32667565345764,12500000,0.0029612272,8.961734260301894
0.39898008,0.021019999,4.23907,0.9330168813467026,125250,233.45,501,53702,-0.0011719699,0.026879963,440.1851849555969,12525000,0.0025767484,7.786315931533463
0.74054086,0.026264,4.2374263,0.9033132642507553,125500,224.6,502,46620,-0.0015160593,0.025807438,441.0451304912567,12550000,0.0028484885,8.422721779838902
0.67436814,0.035208,4.236533,0.9208565875887871,125750,212.25,503,48966,-0.0011960422,0.025454056,441.9838423728943,12575000,0.003301741,8.635921754802112
0.7089302,0.036936,4.2367163,0.9348220378160477,126000,207.72,504,52852,-0.0011190879,0.024939861,442.9048480987549,12600000,0.0034065116,8.809938432993803
0.6786854,0.01348,4.234759,0.935854434967041,126250,204.67,505,52690,-0.0004085657,0.017564664,443.78723073005676,12625000,0.0021239566,7.226220259397669
0.58384264,0.023336,4.234118,0.928461380302906,126500,223.66,506,53942,-0.0013166773,0.029088452,444.6716079711914,12650000,0.002691279,8.822549421629628
0.6984093,0.036900003,4.233173,0.9004652053117752,126750,219.28,507,53856,-0.0009940255,0.024335029,445.53649377822876,12675000,0.0036037876,8.00044333152473
0.6288787,0.015636,4.2315855,0.9106040522456169,127000,221.26,508,53375,-0.0004104358,0.024417074,446.3981215953827,12700000,0.0021457628,7.966313141616992
0.90520155,0.033899996,4.2317863,0.8808056712150574,127250,215.57,509,54345,-0.001273497,0.027782546,447.26593804359436,12725000,0.0033371788,8.910326337049337
0.74323785,0.013324,4.231851,0.894693411886692,127500,220.58,510,47859,-0.00085361826,0.025547482,448.1189341545105,12750000,0.0019430285,8.236974061623332
0.42993507,0.017644,4.2304025,0.9368431344628334,127750,235.47,511,54190,-0.0009652298,0.030812753,449.04555559158325,12775000,0.0024733604,8.531955349342898
0.7215413,0.036024,4.2258162,0.8825239092111588,128000,230.17,512,42919,-0.0014484259,0.02938793,449.89905738830566,12800000,0.0037212956,7.957200503087952
0.626246,0.066384,4.220706,0.9046723172068596,128250,228.47,513,53397,-0.0009501193,0.027647793,450.8724055290222,12825000,0.005595727,8.164897696499247
0.40254802,0.040223997,4.2165484,0.9439767301082611,128500,239.18,514,54983,-0.0013600595,0.0317827,451.73306703567505,12850000,0.004039132,8.593580997058599
0.6444882,0.03874,4.210614,0.9106107503175735,128750,229.18,515,44669,-0.0012065729,0.030730892,452.5788779258728,12875000,0.0038328688,8.827120975421275
0.37253353,0.026972,4.2068124,0.9417010955512524,129000,237.78,516,53953,-0.0018148978,0.02874718,453.5297908782959,12900000,0.0030308138,7.905872920590482
0.5474917,0.04384,4.2051725,0.9134896323084831,129250,235.98,517,49806,-0.0010691994,0.03231184,454.39133310317993,12925000,0.0041684173,8.512095456409734
0.56841654,0.035831995,4.2006826,0.9190792441368103,129500,234.95,518,53188,-0.001569031,0.03290542,455.2920389175415,12950000,0.0034635128,9.059897069376312
0.31379086,0.03982,4.196617,0.9434903748333454,129750,250.0,519,53854,-0.0017417811,0.037208468,456.1574122905731,12975000,0.0039723576,9.30211656519199
0.35947293,0.035272,4.189689,0.9461582936346531,130000,242.97,520,54425,-0.0013831437,0.033727687,457.01926493644714,13000000,0.003580944,8.70815483688726
0.6588596,0.047532,4.1810656,0.8702993392944336,130250,242.51,521,53341,-0.00155158,0.034428388,457.86961793899536,13025000,0.0041730385,9.213961392474811
0.5503086,0.049036,4.1754537,0.9264003559947014,130500,232.66,522,52712,-0.0018746054,0.028005373,458.73985624313354,13050000,0.0045757717,7.9313163924058605
0.43249378,0.065984,4.1716156,0.9399067983031273,130750,234.5,523,51851,-0.0008730108,0.02783221,459.62452578544617,13075000,0.005428857,7.826070689341577
0.4026788,0.059264004,4.1680417,0.945969708263874,131000,231.48,524,53517,-0.00031056226,0.029031709,460.5164785385132,13100000,0.005049122,8.396133311619051
0.4157412,0.042903997,4.165412,0.9445665553212166,131250,239.67,525,53234,-0.0008972004,0.03461359,461.4398431777954,13125000,0.0041316305,9.294043673875276
0.40334564,0.049432002,4.1637363,0.9508037194609642,131500,229.05,526,54352,-0.0007252124,0.028096043,462.3225860595703,13150000,0.0044994494,8.265144168448169
0.5321363,0.050264,4.1647615,0.9300069734454155,131750,229.32,527,53827,-0.0016302855,0.030411387,463.17659974098206,13175000,0.004613978,8.379538872592384
0.54523027,0.068188,4.164697,0.9476135931909084,132000,223.49,528,54856,-0.00028018001,0.028688518,464.0442671775818,13200000,0.0056068324,8.660467367230522
0.4730627,0.036932,4.1624293,0.9545902796089649,132250,228.34,529,49344,-0.0012146567,0.029966462,464.90319895744324,13225000,0.0037213631,8.686293591048871
0.49367714,0.022116,4.1578593,0.9485184513032436,132500,222.6,530,53337,-0.0013798133,0.028998803,465.8107533454895,13250000,0.0027589425,8.794691671386536
0.33884525,0.029988002,4.151723,0.9737391602247953,132750,218.15,531,54267,-0.0009294952,0.02389046,466.68661165237427,13275000,0.0034255397,7.847106625880988
0.47913378,0.020268,4.1458898,0.9632396213710308,133000,222.75,532,45321,-0.0010332541,0.028618198,467.58818340301514,13300000,0.002622176,8.835724255217574
