total_timesteps,serial_timesteps,value_loss,time_elapsed,true_reward,explained_variance,ep_len_mean,fps,n_updates,approxkl,policy_loss,clipfrac,ep_reward_mean,policy_entropy
3175000,31750,0.080612555,119.99305319786072,0.06300022,0.9233338087797165,32.27,55328,127,0.0033238146,-0.0022632834,0.03094,1.3586791241242464,4.768724
3200000,32000,0.08960062,120.86085176467896,0.061279923,0.9223712831735611,33.74,55265,128,0.0038106176,-0.0017697433,0.03734,1.3675660763025825,4.7606993
3225000,32250,0.08919545,121.73196816444397,0.062302887,0.9222056940197945,34.91,53859,129,0.0039599156,-0.0025897096,0.041312,1.6844980485801353,4.7522335
3250000,32500,0.10200225,122.61396598815918,0.06159645,0.9167749285697937,30.89,56946,130,0.0028516487,-0.002173499,0.02308,1.3654300847138803,4.745207
3275000,32750,0.09891521,123.4726243019104,0.062375844,0.9129489958286285,35.5,51049,131,0.003649079,-0.0018802326,0.034156002,1.6097167104685286,4.737288
3300000,33000,0.1053624,124.38666677474976,0.061520588,0.9062879830598831,34.71,55026,132,0.0042809383,-0.0022884668,0.04388,1.4475000040764463,4.7254286
3325000,33250,0.09708474,125.2441291809082,0.06029148,0.9164479374885559,33.12,54450,133,0.0034316585,-0.002481655,0.032516003,1.4373642186758662,4.7161784
3350000,33500,0.0998912,126.12246894836426,0.058883138,0.9134428426623344,33.33,51269,134,0.0032740235,-0.0019079444,0.028900001,1.2859383416234595,4.70794
3375000,33750,0.09871859,127.03642249107361,0.06165176,0.9157483726739883,33.04,53488,135,0.0033512576,-0.0013205447,0.030472,1.3757747812144452,4.70211
3400000,34000,0.104855694,127.96200037002563,0.06081541,0.9068544209003448,32.14,53222,136,0.0041601285,-0.0023489334,0.043724,1.3408473343547302,4.6987925
3425000,34250,0.09965453,128.83951878547668,0.061090868,0.9125720262527466,34.53,55939,137,0.0029204667,-0.002017279,0.024748,1.4927932631877774,4.6946993
